Certificate name;Hash cert;Hash Sign;Hash pub.key
Digisign Server ID - (Enrich);8E5BD50D6AE686D65252F843A9D4B96D197730AB;96941DC6658FFC098859877602900C21375C198B;3C36E168ABCC859663ED47A0C05AEE79
*.xboxlive.com;8B2E65A5DA17FCCCBCDE7EF87B0C0ED5D0701F9F;4AECA71555A30F2A5D3B771CF87B65DE408766A6D2901D606D08C3664397751A;A3F1B5889C142AFF8AC93B49DBFBCB18
Microsoft Online Svcs CA3;8977E8569D2A633AF01D0394851681CE122683A6;97FDC19F693C5408EE84E2322CDA8E3C7844974A;04006A1CD54DD8DAD570B32D0564B4EB
DarkMatter High Assurance CA;8835437D387BBB1B58FF5A0FF8D003D8FE04AED4;DC820CA48D97355F2802FD38413783C01D3C3B8D02AAD00709E66D5B5BEE7DB02184E6BA2571941F9525F8AB68E93C6D;A13A654B1A7E85B9783E7923C99B6D03
DigiNotar Root CA;86E817C81A5CA672FE000F36F878C19518D6F844;5177C28A48F038196234B2ABF4E061DEA7E277F4;37392E833DC605DD7B38244739939EE3
Microsoft Online Svcs BPOS EMEA CA6;838FFD509DE868F481C29819992E38A4F7082873;FF63BEF71B060C3C28369B944D8FA3E4AB9E8868;21BCDF70EE77A9E7A8A478B9DAA2A9D3
login.yahoo.com;80962AE4D6C5B442894E95A13E4A699E07D694CF;E5DDB8C5468BA9001C0A613D59C1CBC8E45BE99C;037B37211FDF7843FAE49F1095C9CC7C
Microsoft Corporation;7D7F4414CCEF168ADF6BF40753B5BECD78375931;8CDB18E99A266C9BE818E94229CF0FCA;25FB7A5D86F72F5E67288F797305FE94
Microsoft Online Svcs BPOS CA1;7613BF0BA261006CAC3ED2DDBEF343425357F18B;8595DD0B8FCAA20C00B47DD3C5C7C55DA91C1435;A70911C6616FCE36DC21E2FF58304486
Alpha Networks Inc.;7311E77EC400109D6A5326D8F6696204FD59AA3B;A8C0F1D88C5A24700B8728C7CE8FFDB9322EBD83;EADAC36AF68F2A5085F1166EA0150B52
DarkMatter Assured CA;6B6FA65B1BDC2A0F3A7E66B590F93297B8EB56B9;E205022402A5A94315CB9D573BCEA9D112F159A55F0C9D26EA79E087B4AA27513E6048B0088EEC5E0FE60AC52DC53260;0710E6AE6E3F907EA5114962E176D04F
DarkMatter Secure CA;6A2C691767C2F1999B8C020CBAB44756A99A0C41;A1A13D594D27718794367FF3DB7100403971F686857D11B811D0BE96BA0CC0756A2D3E64AECFE6AF08584488B6F96F34;A7DF16875EA17E6EF7F28C7E39BB5B45
Microsoft Online Svcs CA4;6690C02B922CBD3FF0D0A5994DBD336592887E3F;0C7ACD8362C612B6A1AF1DF2B6F1C742DC44C206;5619EEABEBEC8A27D6B501B25B4A3733
mail.google.com;6431723036FD26DEA502792FA595922493030F97;D8E83E8F23427871C197FA11EAAB5B54795E0AA4;EBE90AD101D3802B8A4C913CACEE6A57
login.yahoo.com;63FEAE960BAA91E343CE2BD8B71798C76BDB77D0;B122C14DFA7578FB053D3D5D8C49AEE6AEE23935;037B37211FDF7843FAE49F1095C9CC7C
Microsoft Corporation;637162CC59A3A1E25956FA5FA8F60D2E1C52EAC6;33592925E547604FD98C09F1FA44C279;6F2D4365C1021F5B8B63EF132BC3B360
global trustee;61793FCBFA4F9008309BBA5FF12D2CB29CD4151A;405A6F3A0B8D42A3750ABC05A9893ABA922272B2;F69D22AE1ED615B1B9E390E310BBBB31
DigiNotar PKIoverheid CA Organisatie - G2;5DE83EE82AC5090AEA9D6AC4E7A6E213F946E179;5F57706048F3280793338A91160D789B790A2728885D466DB5999C2982A7F5D8;C668154BE95E16ADBC321ABC316E384A
Microsoft Online Svcs CA4;5D5185DF1EB7DC76015422EC8138A5724BEE2886;2EA048D10A4152BFC7E58AFF7919463B244AE1DE;3B83E4CDC8DD15708AA2D7B510230C68
AC DG Tresor SSL;5CE339465F41A1E423149F65544095404DE6EBE2;AFB1A289DA8B4C3BCEEE1C9F5206D914CA1C8B74;C524C00E47BB634806519EFB8221AC6E
Microsoft Online Svcs BPOS CA2;587B59FB52D8A683CBE1CA00E6393D7BB923BC92;FAFE28D0117772F4B807887E41BD26FE9962238F;469BFACC6EB0475A3B7EAC02072DF828
Digisign Server ID (Enrich);51C3247D60F356C7CA3BAF4C3F429DAC93EE7B74;339E874E3C6A295D0E36F8D2450DBFEF848DEA30;526A39C04D15862D427FD925AF033690
Microsoft Online Svcs BPOS CA2;4ED8AA06D1BC72CA64C47B1DFE05ACC8D51FC76F;947DCB36FD0DC1CA778E77E8DB5DABBFFF0661CE;E0B6E0809EAF9BB42DC3AE6E8EF946D3
Microsoft Online Svcs CA5;4DF13947493CFF69CDE554881C5F114E97C3D03B;1AB586521EA6089D225A3E7EE4F05F2D370FBAC3;162B191198B2FF7B3F31BEE50755C153
*.google.com;4D8547B7F864132A7F62D9B75B068521F10B68E3;6521746A132E9F9068A6634ED1653C91D115E16A;E1BECA3A5B9B93C076868AE672596164
NIC Certifying Authority;4822824ECE7ED1450C039AA077DC1F8AE3489BBF;A3DF33BC7A104D0D6B35CEA476789E034736BBAA;22415E18812213E92C14628B2E9DB933
login.skype.com;471C949A8143DB5AD5CDF1C972864A2504FA23C9;1E63D6CE9852777F2D98C4B586E086A15153F254;04521AE08FC7F2A38B2CF3F42CA2B2EF
DigiNotar Root CA G2;43D9BCB568E039D073A74A71D8511F7476089CC3;E58AE6C22C9769AC2367EDC89F41D7BAD84B6012735B00E39D00170F14D06DBD;2118A4C6F718CFC7D6D8788C5374D329
DigiNotar PKIoverheid CA Overheid en Bedrijven;40AA38731BD189F9CDB5B9DC35E2136F38777AF4;0986BC5808606AE2A35A2148E47612B110BA1426;DFBDD72F99C3B64A797E5AC96D59BE56
D-LINK CORPORATION;3EB44E5FFE6DC72DED703E99902722DB38FFD1CB;08222B4D0F69D65F101E26605DD0B578DF1321A8;72AF7274D540D6CB3E7A3E69DC7663F7
DarkMatter Secure CA;3AD010247A8F1E991F8DDE5D47989CB5202E5614;6E5BA5A2E61BD0D3831C2CAA33AE7CE5C95E92ABF0592FF8038CCDBC6B4BE61D3718D1308FE489209D2B283CE4BF8E25;A7DF16875EA17E6EF7F28C7E39BB5B45
Microsoft Enforced Licensing Intermediate PCA;3A850044D8A195CD401A680C012CB0A3B5F8DC08;7E4D770DC4B5AF90C7ACF468F34D134E;019E7D56D60DB9ADEC40B967B1BCBA9F
CN=Microsoft Online Svcs BPOS APAC CA4;3A26012171855D4020C973BEC3F4F9DA45BD2B83;B438A48B3DE3521B4FF30B06B48122A6E641D7FA;437929BE2B9804CB1ABFCEDD56904144
Microsoft Online Svcs CA3;374D5B925B0BD83494E656EB8087127275DB83CE;8C1D54A3473CE05459D307DBE0052883CE659597;4A780DE17A65BE7DB50E389EFCB09623
DigiNotar Root CA;367D4B3B4FCBBC0B767B2EC0CDB2A36EAB71A4EB;39D2458923B3AE83E468E48DF3A20DFB963935D8;37392E833DC605DD7B38244739939EE3
Microsoft Online Svcs BPOS EMEA CA4;330D8D3FD325A0E5FDDDA27013A2E75E7130165F;AEC595E7F8612715E2347947867A498AF2C6A5F9;6C77D5B68DEE40FED751EEA2E2A949BC
addons.mozilla.org;305F8BD17AA2CBC483A4C41B19A39A0C75DA39D6;5A54456F374AB41D2D3C628765FCF13A9FDA7323;2CFBA29E2941BD68F66BC8AD30A8CFA0
DigiNotar Cyber CA;2B84BFBB34EE2EF949FE1CBE30AA026416EB2216;EE7D5A2E7ABF7E6A1AE14B61A406EABC764BC96A;C35A97C80F687DC3C108C6A3339B6846
Microsoft Enforced Licensing Intermediate PCA;2A83E9020591A55FC6DDAD3FB102794C52B24E70;A1ECF42DF0A819057B2B361C55ED2B13;36CDE99AB8737F86287C583704C95E16
Microsoft Online Svcs CA1;23EF3384E21F70F034C467D4CBA6EB61429F174E;306C460DD22D89C0EE87ACFD4BBC501B37D644DC;20E187126C369C3B9E297406AE82C0DD
SenncomRootCA;1990649205B55EAB5D692E9EDB1BE0DDD3B037DE;1A39F433531345090FA3756BA6384C007F6CA5F288BE56E1C6F0D3F5A16B6245;966A334F1B89752B6E9B3D636EFBCD04
www.google.com;1916A2AF346D399F50313C393200F14140456616;B91238380D2B80B8AE8DF2725C47FECBEAE63C79;EBE90AD101D3802B8A4C913CACEE6A57
Microsoft Online Svcs CA6;09FF2CC86CEEFA8A8BB3F2E3E84D6DA3FABBF63E;F776535CEAF3DFCCF6BB8DF3C2F6580E0EFAC24A;C067869C2293E87712C6D008A7C44B97
Microsoft Online Svcs BPOS EMEA CA5;09271DD621EBD3910C2EA1D059F99B8181405A17;2CDC86E136BEE56E928848F2E613B7DA2E5ED48F;82E75C3A1751CC2FA04A34D55F459FB1
www.live.fi;08E4987249BC450748A4A78133CBF041A3510033;075D97EB700EF3DA9193D57E5A376801C04B28B545B1C7996A5F3AB2BD45763B;7630BCFB87E7FC032CBCFF432276649F
Microsoft Online Svcs BPOS APAC CA6;08738A96A4853A52ACEF23F782E8E1FEA7BCED02;58C6262AF7EA047689457ECDFE190884F0104A42;B34857F6BEDE2A972A4557E40DF932D2
DSDTestProvider;02C2D931062D7B1DC2A5C7F5F0685064081FB221;4832110EDD033CFE952CC5D1022F69ADA9693B6169CECA01D06AB75768C7DF98CB140FC4BA3F95C7780A4C97EA8961AB57692028758021C7F5A7594E341B5296;55EF82227F4B93EEF44AE57BDCD7AF04
