OSver;State;Name;Dir;RunObj;Args;Note;Error

XP
6,1;; AutoWake; \Microsoft\Windows\SideShow; {E51DFD48-AA36-4B45-BB52-E831F02E8316}; ;;
6,1;; Background Synchronization; \Microsoft\Windows\Offline Files; {FA3F3DD9-4C1A-456B-A8FA-C76EF3ED83B8}; ;;
6,1;; BackgroundConfigSurveyor; \Microsoft\Windows\PerfTrack; {EA9155A3-8A39-40B4-8963-D3C761B18371}; ;;
6,1;; BfeOnServiceStartTypeChange; \Microsoft\Windows\Windows Filtering Platform; %windir%\system32\rundll32.exe; bfe.dll,BfeOnServiceStartTypeChange;;
6,1;; CacheTask; \Microsoft\Windows\Wininet; {0358B920-0AC7-461F-98F4-58E32CD89148}; ;;
6,1;; Calibration Loader; \Microsoft\Windows\WindowsColorSystem; {B210D694-C8DF-490D-9576-9E20CDBC20BD}; ;;
6,1;; ConfigNotification; \Microsoft\Windows\WindowsBackup; %systemroot%\System32\sdclt.exe; /CONFIGNOTIFICATION;;
6,1;; ConfigureInternetTimeService; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /DoConfigureInternetTimeService;;
6,1;; Consolidator; \Microsoft\Windows\Customer Experience Improvement Program; %SystemRoot%\System32\wsqmcons.exe; ;;
6,1;; CorruptionDetector; \Microsoft\Windows\MemoryDiagnostic; {190BA3F6-0205-4F46-B589-95C6822899D2},PageNotZero; ;;
6,1;; DecompressionFailureDetector; \Microsoft\Windows\MemoryDiagnostic; {190BA3F6-0205-4F46-B589-95C6822899D2},Decompression; ;;
6,1;; DispatchRecoveryTasks; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /DoRecoveryTasks $(Arg0);;
6,1;; ehDRMInit; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /DRMInit;;
6,1;; EOONotify; \Microsoft\Windows\Setup; %windir%\EOONotify\EOONotify.exe; ;;
6,1;; EOSNotify; \Microsoft\Windows\Setup; %windir%\system32\EOSNotify.exe; ;;
6,1;; GadgetManager; \Microsoft\Windows\SideShow; {FF87090D-4A9A-4F47-879B-29A80C355D61},$(Arg0); ;;
6,1;; GatherNetworkInfo; \Microsoft\Windows\NetTrace; %windir%\system32\gatherNetworkInfo.vbs; ;;
6,1;; HiveUploadTask; \Microsoft\Windows\User Profile Service; {BA677074-762C-444B-94C8-8C83F93F6605}; ;;
6,1;; HotStart; \Microsoft\Windows\MobilePC; {06DA0625-9701-43DA-BFD7-FBEEA2180A1E}; ;;
6,1;; InstallPlayReady; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /InstallPlayReady $(Arg0);;
6,1;; Interactive; \Microsoft\Windows\Task Manager; {855FEC53-D2E4-4999-9E87-3414E9CF0FF4},$(Arg0); ;;
6,1;; IpAddressConflict1; \Microsoft\Windows\Tcpip; %windir%\system32\rundll32.exe; ndfapi.dll,NdfRunDllDuplicateIPOffendingSystem;;
6,1;; IpAddressConflict2; \Microsoft\Windows\Tcpip; %windir%\system32\rundll32.exe; ndfapi.dll,NdfRunDllDuplicateIPDefendingSystem;;
6,1;; KernelCeipTask; \Microsoft\Windows\Customer Experience Improvement Program; {E7ED314F-2816-4C26-AEB5-54A34D02404C}; ;;
6,1;; Logon Synchronization; \Microsoft\Windows\Offline Files; {FA3F3DD9-4C1A-456B-A8FA-C76EF3ED83B8},Logon; ;;
6,1;; LPRemove; \Microsoft\Windows\MUI; %windir%\system32\lpremove.exe; ;;
6,1;; mcupdate; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\mcupdate; $(Arg0);;
6,1;; MediaCenterRecoveryTask; \Microsoft\Windows\Media Center; {23E5D772-327A-42F5-BDEE-C65C6796BB2A},$(Arg1)|%SystemRoot%\ehome\mcupdate.exe; -MediaCenterRecoveryTask;;
6,1;; Microsoft-Windows-DiskDiagnosticDataCollector; \Microsoft\Windows\DiskDiagnostic; %windir%\system32\rundll32.exe; dfdts.dll,DfdGetDefaultPolicyAndSMART;;
6,1;; Microsoft-Windows-DiskDiagnosticResolver; \Microsoft\Windows\DiskDiagnostic; %windir%\system32\DFDWiz.exe; ;;
6,1;; Microsoft Compatibility Appraiser; \Microsoft\Windows\Application Experience; %windir%\system32\CompatTelRunner.exe; ;;
6,1;; MobilityManager; \Microsoft\Windows\Ras; {C463A0FC-794F-4FDF-9201-01938CEACAFA}; ;;
6,1;; MP Scheduled Scan; \Microsoft\Windows Defender; %ProgramFiles%\windows defender\MpCmdRun.exe; Scan -ScheduleJob -WinTask -RestrictPrivilegesScan;;
6,1;; MpIdleTask; \Microsoft\Windows Defender; %ProgramFiles%\windows defender\MpCmdRun.exe; -IdleTask -TaskName MpIdleTask;;
6,1;; MsCtfMonitor; \Microsoft\Windows\TextServicesFramework; {01575CFE-9A55-4003-A5E1-F38D1EBDCBE1}; ;;
6,1;; Notifications; \Microsoft\Windows\Location; %windir%\System32\LocationNotifications.exe; ;;
6,1;; ObjectStoreRecoveryTask; \Microsoft\Windows\Media Center; {177AFECE-9599-46CF-90D7-68EC9EEB27B4},$(Arg1)|%SystemRoot%\ehome\mcupdate.exe; -ObjectStoreRecoveryTask;;
6,1;; OCURActivate; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /OCURActivate;;
6,1;; OCURDiscovery; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /OCURDiscovery $(Arg0);;
6,1;; PBDADiscovery; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /PBDADiscovery;;
6,1;; PBDADiscoveryW1; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /wait:7 /PBDADiscovery;;
6,1;; PBDADiscoveryW2; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /wait:90 /PBDADiscovery;;
6,1;; PeriodicScanRetry; \Microsoft\Windows\Media Center; %windir%\ehome\MCUpdate.exe; -pscn 0;;
6,1;; PolicyConverter; \Microsoft\Windows\AppID; %windir%\system32\appidpolicyconverter.exe; ;;
6,1;; ProgramDataUpdater; \Microsoft\Windows\Application Experience; %windir%\system32\rundll32.exe|%windir%\system32\compattelrunner.exe; aepdu.dll,AePduRunUpdate|-maintenance;;
6,1;; Proxy; \Microsoft\Windows\Autochk; %windir%\system32\rundll32.exe; /d acproxy.dll,PerformAutochkOperations;;
6,1;; PvrRecoveryTask; \Microsoft\Windows\Media Center; {7FA3A1C3-3C87-40DE-AC16-B6E2815A4CC8},$(Arg1)|%SystemRoot%\ehome\mcupdate.exe; -PvrRecoveryTask;;
6,1;; PvrScheduleTask; \Microsoft\Windows\Media Center; {CEF51277-5358-477B-858C-4E14F0C80BF7},$(Arg1)|%SystemRoot%\ehome\mcupdate.exe; -PvrSchedule;;
6,1;; QueueReporting; \Microsoft\Windows\Windows Error Reporting; %windir%\system32\wermgr.exe; -queuereporting;;
6,1;; RacTask; \Microsoft\Windows\RAC; {42060D27-CA53-41F5-96E4-B1E8169308A6},$(Arg0); ;;
6,1;; RecordingRestart; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehrec; /RestartRecording;;
6,1;; RegIdleBackup; \Microsoft\Windows\Registry; {CA767AA8-9157-4604-B64B-40747123D5F2}; ;;
6,1;; RegisterSearch; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /DoRegisterSearch $(Arg0);;
6,1;; ReindexSearchRoot; \Microsoft\Windows\Media Center; %SystemRoot%\ehome\ehPrivJob.exe; /DoReindexSearchRoot;;
6,1;; RemoteAssistanceTask; \Microsoft\Windows\RemoteAssistance; %windir%\system32\RAServer.exe; /offerraupdate;;
