File;FullPath;Legitimate;WQHL;IsMicrosoft;WPF / SFC;Embedded Sign;Issuer;RootCertHash;ErrCode;ErrMsgShort;ErrMsgFull
aadtb.dll;h:\_AVZ\Наши разработки\_Dragokas\DigiSignChecker\DisiSignClass\\aadtb.dll;Yes;No;Yes;No;No;Microsoft Root Certificate Authority 2010;3B1EFD3A66EA28B16697394703A72CA340A05BD5;0;Legit signature.;Операция успешно завершена.
Microsoft.DirectX.dll;h:\_AVZ\Наши разработки\_Dragokas\DigiSignChecker\DisiSignClass\\Microsoft.DirectX.dll;No;No;No;No;;;;-2146762496;TRUST_E_NOSIGNATURE: Not signed;В этом объекте нет подписи.
