x-atng,{7E8717B0-D862-11D5-8C9E-00010304F989}
x-excid,{9D6CC632-1337-4A33-9214-2DA092E776F4}
x-mem1,{C3719F83-7EF8-4BA0-89B0-3360C7AFB7CC}
x-mem3,{4F6D06DD-44AB-4F89-BF13-9027B505B15A}
ct,{774E529C-2458-48A2-8F57-3ED3105D8612}
cw,{774E529C-2458-48A2-8F57-3ED3105D8612}
eti,{3AAE7392-E7AA-11D2-969E-00105A088846}
livecall,{828030A1-22C1-4009-854F-8E305202313F}
tbauth,{14654CA6-5711-491D-B89A-58E571679951}
windows.tbauth,{14654CA6-5711-491D-B89A-58E571679951}
msdaipp,{E1D2BF40-A96B-11D1-9C6B-0000F875AC61}|{E1D2BF42-A96B-11D1-9C6B-0000F875AC61}
